district_id,district_pop,target,difference,abs_difference,relative_deviation,population_target_ratio,population_floor,population_cap,within_hard_bounds,within_target_tolerance
0,17139,16205.307692307691,933.6923076923085,933.6923076923085,0.05761645045070709,1.057616450450707,13774.511538461538,24307.96153846154,True,True
1,16196,16205.307692307691,-9.307692307691468,9.307692307691468,-0.0005743607270172123,0.9994256392729828,13774.511538461538,24307.96153846154,True,True
2,16750,16205.307692307691,544.6923076923085,544.6923076923085,0.03361196948767978,1.0336119694876797,13774.511538461538,24307.96153846154,True,True
3,16167,16205.307692307691,-38.30769230769147,38.30769230769147,-0.0023638978682197624,0.9976361021317802,13774.511538461538,24307.96153846154,True,True
4,16680,16205.307692307691,474.69230769230853,474.69230769230853,0.02929239707788052,1.0292923970778804,13774.511538461538,24307.96153846154,True,True
5,15354,16205.307692307691,-851.3076923076915,851.3076923076915,-0.05253264599917401,0.9474673540008259,13774.511538461538,24307.96153846154,True,True
6,16403,16205.307692307691,197.69230769230853,197.69230769230853,0.012199231970532024,1.012199231970532,13774.511538461538,24307.96153846154,True,True
7,16195,16205.307692307691,-10.307692307691468,10.307692307691468,-0.0006360689043000588,0.9993639310957,13774.511538461538,24307.96153846154,True,True
8,16010,16205.307692307691,-195.30769230769147,195.30769230769147,-0.012052081701626671,0.9879479182983734,13774.511538461538,24307.96153846154,True,True
9,16572,16205.307692307691,366.69230769230853,366.69230769230853,0.022627913931333093,1.022627913931333,13774.511538461538,24307.96153846154,True,True
10,16406,16205.307692307691,200.69230769230853,200.69230769230853,0.012384356502380563,1.0123843565023805,13774.511538461538,24307.96153846154,True,True
11,16733,16205.307692307691,527.6923076923085,527.6923076923085,0.03256293047387139,1.0325629304738715,13774.511538461538,24307.96153846154,True,True
12,16320,16205.307692307691,114.69230769230853,114.69230769230853,0.007077453256055761,1.0070774532560558,13774.511538461538,24307.96153846154,True,True
13,17006,16205.307692307691,800.6923076923085,800.6923076923085,0.049409262872088494,1.0494092628720886,13774.511538461538,24307.96153846154,True,True
