district_id,district_pop,target,difference,abs_difference,relative_deviation,population_target_ratio,population_floor,population_cap,within_hard_bounds,within_target_tolerance,section_count,municipality_count,municipality_codes,municipality_names,province_count,province_codes,province_names,area_km2,perimeter_km,polsby_popper,centroid_x,centroid_y,bbox_minx,bbox_miny,bbox_maxx,bbox_maxy,metric_crs
0,17139,16205.307692307691,933.6923076923085,933.6923076923085,0.05761645045070709,1.057616450450707,13774.511538461538,24307.96153846154,True,True,19,6,06018 | 06023 | 06036 | 06047 | 06087 | 06160,Benquerencia de la Serena | Cabeza del Buey | Castuera | Esparragosa de la Serena | Monterrubio de la Serena | Zalamea de la Serena,1,06,Badajoz,1592.1847959337276,271.4859686880324,0.2714616966124878,2979438.9160712915,1872913.691771154,2943890.0007462623,1848851.9928256338,3006514.1311778845,1897365.7822549753,EPSG:3035
1,16196,16205.307692307691,-9.307692307691468,9.307692307691468,-0.0005743607270172123,0.9994256392729828,13774.511538461538,24307.96153846154,True,True,12,1,06015,Badajoz,1,06,Badajoz,14.803046326307271,19.684431653435997,0.4800817560814895,2855874.8042838173,1917137.2984308056,2853131.6801577024,1914261.352538253,2858348.085514724,1919176.7254435145,EPSG:3035
2,16750,16205.307692307691,544.6923076923085,544.6923076923085,0.03361196948767978,1.0336119694876797,13774.511538461538,24307.96153846154,True,True,20,11,06014 | 06019 | 06029 | 06059 | 06064 | 06076 | 06077 | 06101 | 06110 | 06112 | 06144,Azuaga | Berlanga | Campillo de Llerena | Granja de Torrehermosa | Higuera de la Serena | Maguilla | Malcocinado | Peraleda del Zaucejo | Reina | Retamal de Llerena | Valverde de Llerena,1,06,Badajoz,1578.798790324146,367.8551933646959,0.14661650592136938,2947241.12786882,1840575.4610780452,2913079.145362067,1808802.6708687716,2973085.8760410184,1875771.1691404285,EPSG:3035
3,16167,16205.307692307691,-38.30769230769147,38.30769230769147,-0.0023638978682197624,0.9976361021317802,13774.511538461538,24307.96153846154,True,True,10,1,06015,Badajoz,1,06,Badajoz,3.8858877227229107,12.042507182662796,0.3367179619525243,2853232.3707575663,1921099.2635218338,2851429.658918638,1919601.5358439125,2854725.3223112104,1922794.8730555894,EPSG:3035
4,16680,16205.307692307691,474.69230769230853,474.69230769230853,0.02929239707788052,1.0292923970778804,13774.511538461538,24307.96153846154,True,True,19,12,06008 | 06013 | 06020 | 06024 | 06026 | 06027 | 06052 | 06068 | 06081 | 06108 | 06136 | 06142,Alconera | Atalaya | Bienvenida | Cabeza la Vaca | Calera de León | Calzadilla de los Barros | Fuente de Cantos | Hinojosa del Valle | Medina de las Torres | Puebla de Sancho Pérez | Usagre | Valverde de Burguillos,1,06,Badajoz,1034.6427074574672,246.83567149507087,0.21339508924052444,2897998.908650138,1843368.6900962489,2873980.8505017813,1809560.9083354848,2919874.410373895,1865213.0463029137,EPSG:3035
5,15354,16205.307692307691,-851.3076923076915,851.3076923076915,-0.05253264599917401,0.9474673540008259,13774.511538461538,24307.96153846154,True,True,15,1,06015,Badajoz,1,06,Badajoz,1.050766649136821,8.268637132006937,0.1931293493005413,2851830.78772235,1918474.2099830634,2851154.894932653,1917629.6206942024,2852802.901325928,1919248.0783985897,EPSG:3035
6,16403,16205.307692307691,197.69230769230853,197.69230769230853,0.012199231970532024,1.012199231970532,13774.511538461538,24307.96153846154,True,True,11,1,06015,Badajoz,1,06,Badajoz,1.61374671511216,10.676463919323785,0.17790590439798493,2853417.490508725,1918829.292233708,2852623.5138542233,1917648.9362751357,2854644.017530446,1919773.96764524,EPSG:3035
7,16195,16205.307692307691,-10.307692307691468,10.307692307691468,-0.0006360689043000588,0.9993639310957,13774.511538461538,24307.96153846154,True,True,12,1,06015,Badajoz,1,06,Badajoz,1.1883049668389434,7.104706844214827,0.2958322053069586,2852543.2087117275,1918864.0363216393,2851833.1560542826,1917826.4446128248,2853275.3830114203,1919744.1655574925,EPSG:3035
8,16010,16205.307692307691,-195.30769230769147,195.30769230769147,-0.012052081701626671,0.9879479182983734,13774.511538461538,24307.96153846154,True,True,11,2,06095 | 06143,Olivenza | Valverde de Leganés,1,06,Badajoz,503.06900578740107,158.13913721283092,0.25278930457307325,2836887.7173721995,1897433.9849051367,2822000.637552521,1873287.0816438168,2852830.6411372675,1912512.8704149656,EPSG:3035
9,16572,16205.307692307691,366.69230769230853,366.69230769230853,0.022627913931333093,1.022627913931333,13774.511538461538,24307.96153846154,True,True,11,2,06044 | 06079,Don Benito | Manchita,1,06,Badajoz,358.9925964040756,134.77072232891678,0.24837292050389953,2942337.212675696,1896714.1694465848,2929484.211569811,1882259.5309923654,2954117.813429718,1913646.2238344937,EPSG:3035
