district_id,district_pop,target,difference,abs_difference,relative_deviation,population_target_ratio,population_floor,population_cap,within_hard_bounds,within_target_tolerance,section_count,municipality_count,municipality_codes,municipality_names,province_count,province_codes,province_names,area_km2,perimeter_km,polsby_popper,centroid_x,centroid_y,bbox_minx,bbox_miny,bbox_maxx,bbox_maxy,metric_crs
10,29672,29283.182926829268,388.81707317073233,388.81707317073233,0.013277828238217161,1.013277828238217,23426.546341463414,51245.57012195122,True,True,30,1,09059,Burgos,1,09,Burgos,1.791001824655074,11.250836746166168,0.1778018381232873,3195487.3809480187,2240132.6412318093,3194266.1095582796,2239322.3616167516,3196905.8251634436,2241169.8618640616,EPSG:3035
11,29644,29283.182926829268,360.81707317073233,360.81707317073233,0.012321648028232325,1.0123216480282324,23426.546341463414,51245.57012195122,True,True,24,1,09059,Burgos,1,09,Burgos,11.147954119789231,29.504785211470722,0.1609237416631258,3200362.027704762,2242620.731602854,3195527.0002931687,2240021.6743382113,3203852.259018615,2244546.29265725,EPSG:3035
12,29274,29283.182926829268,-9.182926829267672,9.182926829267672,-0.0003135904608530198,0.999686409539147,23426.546341463414,51245.57012195122,True,True,22,1,09219,Miranda de Ebro,1,09,Burgos,4.534402880845359,17.26523002502606,0.19115481011138388,3262189.5674766167,2266979.785625458,3259922.1958821104,2265815.32727886,3264215.3582334174,2268170.5369081236,EPSG:3035
13,31338,29283.182926829268,2054.8170731707323,2054.8170731707323,0.07017055073231496,1.070170550732315,23426.546341463414,51245.57012195122,True,True,119,116,09018 | 09019 | 09020 | 09021 | 09022 | 09030 | 09033 | 09035 | 09037 | 09038 | 09039 | 09055 | 09062 | 09064 | 09065 | 09066 | 09067 | 09070 | 09072 | 09078 | 09084 | 09086 | 09094 | 09103 | 09104 | 09105 | 09110 | 09112 | 09113 | 09114 | 09119 | 09122 | 09127 | 09129 | 09131 | 09137 | 09141 | 09144 | 09151 | 09152 | 09154 | 09162 | 09163 | 09164 | 09169 | 09173 | 09174 | 09177 | 09183 | 09184 | 09191 | 09196 | 09200 | 09201 | 09208 | 09218 | 09221 | 09223 | 09225 | 09226 | 09231 | 09232 | 09239 | 09246 | 09248 | 09261 | 09266 | 09267 | 09268 | 09269 | 09270 | 09274 | 09277 | 09279 | 09281 | 09289 | 09295 | 09302 | 09309 | 09311 | 09312 | 09314 | 09315 | 09318 | 09330 | 09337 | 09340 | 09345 | 09346 | 09348 | 09352 | 09355 | 09356 | 09358 | 09366 | 09378 | 09381 | 09386 | 09388 | 09396 | 09400 | 09403 | 09407 | 09414 | 09421 | 09425 | 09430 | 09433 | 09440 | 09447 | 09450 | 09451 | 09476 | 09478 | 09483 | 09901,"Aranda de Duero | Arandilla | Arauzo de Miel | Arauzo de Salce | Arauzo de Torre | Ausines, Los | Bahabón de Esgueva | Barbadillo de Herreros | Barbadillo del Mercado | Barbadillo del Pez | Baños de Valdearados | Brazacorta | Cabezón de la Sierra | Caleruega | Campillo de Aranda | Campolara | Canicosa de la Sierra | Carazo | Carcedo de Burgos | Cascajares de la Sierra | Castrillo de la Reina | Castrillo del Val | Cebrecos | Cilleruelo de Abajo | Cilleruelo de Arriba | Ciruelos de Cervera | Contreras | Coruña del Conde | Covarrubias | Cubillo del Campo | Cuevas de San Clemente | Espinosa de Cervera | Fontioso | Fresneda de la Sierra Tirón | Fresnillo de las Dueñas | Fuentelcésped | Fuentespina | Gallega, La | Gumiel de Izán | Gumiel de Mercado | Hacinas | Hontoria de Valdearados | Hontoria de la Cantera | Hontoria del Pinar | Hortigüela | Huerta de Arriba | Huerta de Rey | Ibeas de Juarros | Jaramillo Quemado | Jaramillo de la Fuente | Jurisdicción de Lara | Madrigal del Monte | Mambrillas de Lara | Mamolar | Mecerreyes | Milagros | Modúbar de la Emparedada | Monasterio de la Sierra | Moncalvillo | Monterrubio de la Demanda | Nebreda | Neila | Oquillas | Palacios de la Sierra | Palazuelos de la Sierra | Peñaranda de Duero | Pineda Trasmonte | Pineda de la Sierra | Pinilla Trasmonte | Pinilla de los Barruecos | Pinilla de los Moros | Pradoluengo | Puentedura | Quemada | Quintana del Pidio | Quintanar de la Sierra | Quintanilla del Agua y Tordueles | Quintanilla del Coco | Rabanera del Pinar | Regumiel de la Sierra | Retuerta | Revilla del Campo | Revilla y Ahedo, La | Revillarruz | Riocavado de la Sierra | Salas de los Infantes | San Juan del Monte | San Millán de Lara | Santa Cruz de la Salceda | Santa Cruz del Valle Urbión | Santa Inés | Santa María del Mercadillo | Santibáñez de Esgueva | Santibáñez del Val | Santo Domingo de Silos | Solarana | Tejada | Tinieblas de la Sierra | Torrecilla del Monte | Torrelara | Tubilla del Lago | Vadocondes | Valdeande | Valle de Valdelaguna | Valmala | Vid y Barrios, La | Villaespasa | Villagalijo | Villalbilla de Gumiel | Villamiel de la Sierra | Villanueva de Carazo | Villanueva de Gumiel | Villoruebo | Vilviestre del Pinar | Vizcaínos | Zazuar",1,09,Burgos,3619.650101677403,810.83590883152,0.06918477096274765,3210762.597447073,2195767.6659014323,3170321.4805333726,2153380.165696874,3253706.268356371,2239026.876637959,EPSG:3035
14,30564,29283.182926829268,1280.8170731707323,1280.8170731707323,0.043738997784876964,1.043738997784877,23426.546341463414,51245.57012195122,True,True,22,2,09059 | 09458,Burgos | Villariezo,1,09,Burgos,28.66000915320988,44.893808088622166,0.1786953688799864,3193978.911008807,2235685.572163406,3190319.841032313,2229632.024808944,3198325.3036368797,2240504.113317821,EPSG:3035
15,31339,29283.182926829268,2055.8170731707323,2055.8170731707323,0.0702047000255287,1.0702047000255288,23426.546341463414,51245.57012195122,True,True,97,95,09003 | 09009 | 09017 | 09023 | 09032 | 09034 | 09041 | 09047 | 09051 | 09058 | 09061 | 09063 | 09079 | 09085 | 09093 | 09095 | 09101 | 09117 | 09125 | 09128 | 09136 | 09138 | 09139 | 09140 | 09155 | 09159 | 09160 | 09167 | 09168 | 09170 | 09176 | 09179 | 09180 | 09194 | 09198 | 09199 | 09206 | 09228 | 09229 | 09235 | 09236 | 09249 | 09250 | 09253 | 09256 | 09257 | 09259 | 09262 | 09275 | 09294 | 09297 | 09301 | 09304 | 09316 | 09321 | 09325 | 09338 | 09339 | 09343 | 09350 | 09363 | 09365 | 09369 | 09372 | 09375 | 09377 | 09380 | 09384 | 09387 | 09389 | 09390 | 09391 | 09405 | 09417 | 09418 | 09428 | 09432 | 09434 | 09437 | 09438 | 09439 | 09441 | 09442 | 09443 | 09448 | 09455 | 09456 | 09464 | 09466 | 09467 | 09471 | 09472 | 09480 | 09902 | 09907,"Adrada de Haza | Albillos | Alfoz de Quintanadueñas | Anguix | Arcos | Avellanosa de Muñó | Balbases, Los | Barrio de Muñó | Belbimbre | Berlangas de Roa | Buniel | Cabañes de Esgueva | Castellanos de Castro | Castrillo de la Vega | Cavia | Cayuela | Celada del Camino | Ciadoncha | Cueva de Roa, La | Estépar | Frandovínez | Fuentecén | Fuentelisendo | Fuentemolinos | Fuentenebro | Haza | Hontanas | Hontangas | Hornillos del Camino | Horra, La | Hoyales de Roa | Hurones | Iglesiarrubia | Iglesias | Lerma | Mahamud | Mambrilla de Castrejón | Mazuela | Moradillo de Roa | Nava de Roa | Olmedillo de Roa | Olmillos de Muñó | Palazuelos de Muñó | Pampliega | Pardilla | Pedrosa de Duero | Pedrosa de Río Úrbel | Pedrosa del Páramo | Peral de Arlanza | Presencio | Quintanilla Vivar | Quintanilla de la Mata | Quintanillas, Las | Rabé de las Calzadas | Revilla Vallejera | Roa | Royuela de Río Franco | San Mamés de Burgos | San Martín de Rubiales | Santa Cecilia | Santa María del Campo | Sasamón | Sequera de Haza, La | Sotillo de la Ribera | Sotragero | Tamarón | Tardajos | Terradillos de Esgueva | Tordómar | Torregalindo | Torrepadre | Torresandino | Tórtoles de Esgueva | Valdezate | Valle de Santibáñez | Vallejera | Valles de Palenzuela | Villaescusa de Roa | Villafruela | Villagonzalo Pedernales | Villahoz | Villalba de Duero | Villalbilla de Burgos | Villaldemiro | Villalmanzo | Villamayor de los Montes | Villangómez | Villaquirán de la Puebla | Villaquirán de los Infantes | Villatuelda | Villaverde del Monte | Villaverde-Mogina | Villayerno Morquillas | Villazopeque | Zael",1,09,Burgos,2649.5082929747755,619.9839344635982,0.08661922137736142,3173887.1809602045,2209882.735204184,3152150.55266626,2143369.7931372505,3206343.0719211693,2263910.782300765,EPSG:3035
16,31350,29283.182926829268,2066.8170731707323,2066.8170731707323,0.07058034225087989,1.07058034225088,23426.546341463414,51245.57012195122,True,True,52,39,09006 | 09007 | 09013 | 09016 | 09025 | 09050 | 09054 | 09057 | 09071 | 09102 | 09109 | 09120 | 09124 | 09135 | 09149 | 09192 | 09195 | 09209 | 09214 | 09215 | 09216 | 09219 | 09238 | 09244 | 09251 | 09265 | 09276 | 09280 | 09283 | 09298 | 09327 | 09334 | 09347 | 09410 | 09412 | 09413 | 09419 | 09485 | 09903,"Aguas Cándidas | Aguilar de Bureba | Altable | Ameyugo | Arija | Berberana | Bozoó | Bugedo | Carcedo de Bureba | Cillaperlata | Condado de Treviño | Encío | Espinosa de los Monteros | Fuentebureba | Grisaleña | Jurisdicción de San Zadornil | Llano de Bureba | Medina de Pomar | Merindad de Montija | Merindad de Sotoscueva | Merindad de Valdeporres | Miranda de Ebro | Oña | Padrones de Bureba | Pancorbo | Piérnigas | Puebla de Arganzón, La | Quintanabureba | Quintanaélez | Quintanilla San García | Rublacedo de Abajo | Salinillas de Bureba | Santa Gadea del Cid | Valle de Mena | Valle de Tobalina | Valle de Valdebezana | Valluércanes | Villarcayo de Merindad de Castilla la Vieja | Zuñeda",1,09,Burgos,2571.6935579359533,992.2783332797825,0.03282177500102368,3234537.8837771644,2292128.332412446,3185078.4095836934,2251669.735227066,3296812.500388016,2331271.7495810622,EPSG:3035
17,31333,29283.182926829268,2049.8170731707323,2049.8170731707323,0.06999980426624623,1.0699998042662462,23426.546341463414,51245.57012195122,True,True,123,119,09001 | 09010 | 09011 | 09012 | 09014 | 09024 | 09026 | 09027 | 09029 | 09036 | 09043 | 09044 | 09045 | 09046 | 09048 | 09052 | 09056 | 09060 | 09068 | 09073 | 09074 | 09075 | 09076 | 09077 | 09082 | 09083 | 09088 | 09090 | 09091 | 09098 | 09100 | 09108 | 09115 | 09123 | 09130 | 09132 | 09133 | 09134 | 09143 | 09148 | 09166 | 09172 | 09175 | 09178 | 09181 | 09182 | 09189 | 09190 | 09197 | 09202 | 09211 | 09213 | 09217 | 09220 | 09224 | 09227 | 09230 | 09241 | 09242 | 09243 | 09247 | 09255 | 09258 | 09272 | 09273 | 09287 | 09288 | 09292 | 09303 | 09306 | 09307 | 09308 | 09310 | 09317 | 09323 | 09326 | 09328 | 09329 | 09332 | 09335 | 09351 | 09353 | 09354 | 09360 | 09361 | 09362 | 09368 | 09373 | 09374 | 09382 | 09392 | 09394 | 09395 | 09398 | 09406 | 09408 | 09409 | 09411 | 09415 | 09416 | 09422 | 09423 | 09424 | 09427 | 09429 | 09431 | 09444 | 09445 | 09446 | 09449 | 09454 | 09460 | 09463 | 09473 | 09482 | 09904 | 09905 | 09906 | 09908,"Abajas | Alcocero de Mola | Alfoz de Bricia | Alfoz de Santa Gadea | Altos, Los | Arenillas de Riopisuerga | Arlanzón | Arraya de Oca | Atapuerca | Barrios de Bureba, Los | Barrios de Colina | Basconcillos del Tozo | Bascuñana | Bañuelos de Bureba | Belorado | Berzosa de Bureba | Briviesca | Busto de Bureba | Cantabrana | Cardeñadijo | Cardeñajimeno | Cardeñuela Riopico | Carrias | Cascajares de Bureba | Castil de Peones | Castildelgado | Castrillo Mota de Judíos | Castrillo de Riopisuerga | Castrojeriz | Cerezo de Río Tirón | Cerratón de Juarros | Cogollos | Cubo de Bureba | Espinosa del Camino | Fresneña | Fresno de Rodilla | Fresno de Río Tirón | Frías | Galbarros | Grijalba | Hormazas, Las | Humada | Huérmeces | Ibrillos | Isar | Itero del Castillo | Junta de Traslaloma | Junta de Villalba de Losa | Madrigalejo del Monte | Manciles | Melgar de Fernamental | Merindad de Cuesta-Urria | Merindad de Río Ubierna | Merindad de Valdivielso | Miraveche | Monasterio de Rodilla | Montorio | Navas de Bureba | Orbaneja Riopico | Padilla de Abajo | Padilla de Arriba | Palacios de Riopisuerga | Partido de la Sierra en Tobalina | Pedrosa del Príncipe | Poza de la Sal | Prádanos de Bureba | Quintanaortuño | Quintanapalla | Quintanavides | Rebolledo de la Torre | Redecilla del Camino | Redecilla del Campo | Reinoso | Rezmondo | Rojas | Rubena | Rucandio | Rábanos | Salas de Bureba | Saldaña de Burgos | San Adrián de Juarros | San Vicente del Valle | Santa María Ribarredonda | Santa María del Invierno | Santa Olalla de Bureba | Sargentes de la Lora | Sarracín | Sordillos | Sotresgudo | Susinos del Páramo | Tobar | Tosantos | Trespaderne | Tubilla del Agua | Valdorros | Vallarta de Bureba | Valle de Losa | Valle de Manzanedo | Valle de Oca | Valle de Sedano | Valle de Valdelucio | Valle de Zamanzas | Valle de las Navas | Vid de Bureba, La | Vileña | Villadiego | Villaescusa la Sombría | Villafranca Montes de Oca | Villamayor de Treviño | Villambistia | Villamedianilla | Villanueva de Argaño | Villanueva de Teba | Villasandino | Villasur de Herreros | Villegas | Viloria de Rioja | Zarzosa de Río Pisuerga | Úrbel del Castillo",1,09,Burgos,5016.473860675655,1298.54479857724,0.03738475541551592,3201717.7803485775,2267489.440351626,3145111.601509846,2215742.4669909505,3261585.580429822,2316884.2638649503,EPSG:3035
18,31097,29283.182926829268,1813.8170731707323,1813.8170731707323,0.06194057106780261,1.0619405710678027,23426.546341463414,51245.57012195122,True,True,25,1,24089,León,1,24,León,7.379826126712654,19.916307994321652,0.2337966727050946,3049481.8399202162,2300028.600908933,3047755.5108437026,2297729.7414410547,3051298.73843447,2303025.2900494924,EPSG:3035
19,30646,29283.182926829268,1362.8170731707323,1362.8170731707323,0.04653923982840399,1.046539239828404,23426.546341463414,51245.57012195122,True,True,24,1,24089,León,1,24,León,24.872410316571813,35.99084518436461,0.24129240199405966,3048485.09599387,2295739.9591287677,3044266.716434192,2292724.281283769,3052244.385293146,2298586.1637006146,EPSG:3035
