district_id,district_pop,target,difference,abs_difference,relative_deviation,population_target_ratio,population_floor,population_cap,within_hard_bounds,within_target_tolerance
0,29958,29283.182926829268,674.8170731707323,674.8170731707323,0.023044526097347997,1.023044526097348,23426.546341463414,51245.57012195122,True,True
1,25774,29283.182926829268,-3509.1829268292677,3509.1829268292677,-0.11983611670895764,0.8801638832910423,23426.546341463414,51245.57012195122,True,True
2,27604,29283.182926829268,-1679.1829268292677,1679.1829268292677,-0.05734291012780579,0.9426570898721942,23426.546341463414,51245.57012195122,True,True
3,25810,29283.182926829268,-3473.1829268292677,3473.1829268292677,-0.11860674215326285,0.8813932578467372,23426.546341463414,51245.57012195122,True,True
4,25815,29283.182926829268,-3468.1829268292677,3468.1829268292677,-0.11843599568719412,0.8815640043128059,23426.546341463414,51245.57012195122,True,True
5,25777,29283.182926829268,-3506.1829268292677,3506.1829268292677,-0.1197336688293164,0.8802663311706836,23426.546341463414,51245.57012195122,True,True
6,28924,29283.182926829268,-359.18292682926767,359.18292682926767,-0.012265843085663482,0.9877341569143365,23426.546341463414,51245.57012195122,True,True
7,30436,29283.182926829268,1152.8170731707323,1152.8170731707323,0.03936788825351771,1.0393678882535178,23426.546341463414,51245.57012195122,True,True
8,29736,29283.182926829268,452.81707317073233,452.81707317073233,0.01546338300389679,1.0154633830038968,23426.546341463414,51245.57012195122,True,True
9,29053,29283.182926829268,-230.18292682926767,230.18292682926767,-0.007860584261090483,0.9921394157389095,23426.546341463414,51245.57012195122,True,True
10,29672,29283.182926829268,388.81707317073233,388.81707317073233,0.013277828238217161,1.013277828238217,23426.546341463414,51245.57012195122,True,True
11,29644,29283.182926829268,360.81707317073233,360.81707317073233,0.012321648028232325,1.0123216480282324,23426.546341463414,51245.57012195122,True,True
12,29274,29283.182926829268,-9.182926829267672,9.182926829267672,-0.0003135904608530198,0.999686409539147,23426.546341463414,51245.57012195122,True,True
13,31338,29283.182926829268,2054.8170731707323,2054.8170731707323,0.07017055073231496,1.070170550732315,23426.546341463414,51245.57012195122,True,True
14,30564,29283.182926829268,1280.8170731707323,1280.8170731707323,0.043738997784876964,1.043738997784877,23426.546341463414,51245.57012195122,True,True
15,31339,29283.182926829268,2055.8170731707323,2055.8170731707323,0.0702047000255287,1.0702047000255288,23426.546341463414,51245.57012195122,True,True
16,31350,29283.182926829268,2066.8170731707323,2066.8170731707323,0.07058034225087989,1.07058034225088,23426.546341463414,51245.57012195122,True,True
17,31333,29283.182926829268,2049.8170731707323,2049.8170731707323,0.06999980426624623,1.0699998042662462,23426.546341463414,51245.57012195122,True,True
18,31097,29283.182926829268,1813.8170731707323,1813.8170731707323,0.06194057106780261,1.0619405710678027,23426.546341463414,51245.57012195122,True,True
19,30646,29283.182926829268,1362.8170731707323,1362.8170731707323,0.04653923982840399,1.046539239828404,23426.546341463414,51245.57012195122,True,True
20,31056,29283.182926829268,1772.8170731707323,1772.8170731707323,0.0605404500460391,1.0605404500460391,23426.546341463414,51245.57012195122,True,True
21,31391,29283.182926829268,2107.8170731707323,2107.8170731707323,0.0719804632726434,1.0719804632726433,23426.546341463414,51245.57012195122,True,True
22,28776,29283.182926829268,-507.18292682926767,507.18292682926767,-0.01731993848129762,0.9826800615187024,23426.546341463414,51245.57012195122,True,True
23,28794,29283.182926829268,-489.18292682926767,489.18292682926767,-0.016705251203450223,0.9832947487965498,23426.546341463414,51245.57012195122,True,True
24,28821,29283.182926829268,-462.18292682926767,462.18292682926767,-0.015783220286679132,0.9842167797133209,23426.546341463414,51245.57012195122,True,True
25,29123,29283.182926829268,-160.18292682926767,160.18292682926767,-0.00547013373612839,0.9945298662638716,23426.546341463414,51245.57012195122,True,True
26,28834,29283.182926829268,-449.18292682926767,449.18292682926767,-0.015339279474900457,0.9846607205250996,23426.546341463414,51245.57012195122,True,True
27,31292,29283.182926829268,2008.8170731707323,2008.8170731707323,0.06859968324448272,1.0685996832444826,23426.546341463414,51245.57012195122,True,True
28,28823,29283.182926829268,-460.18292682926767,460.18292682926767,-0.01571492170025164,0.9842850782997483,23426.546341463414,51245.57012195122,True,True
29,31721,29283.182926829268,2437.8170731707323,2437.8170731707323,0.08324973003317898,1.083249730033179,23426.546341463414,51245.57012195122,True,True
30,29996,29283.182926829268,712.8170731707323,712.8170731707323,0.024342199239470275,1.0243421992394703,23426.546341463414,51245.57012195122,True,True
31,28736,29283.182926829268,-547.1829268292677,547.1829268292677,-0.018685910209847386,0.9813140897901527,23426.546341463414,51245.57012195122,True,True
32,28924,29283.182926829268,-359.18292682926767,359.18292682926767,-0.012265843085663482,0.9877341569143365,23426.546341463414,51245.57012195122,True,True
33,27499,29283.182926829268,-1784.1829268292677,1784.1829268292677,-0.06092858591524893,0.939071414084751,23426.546341463414,51245.57012195122,True,True
34,27860,29283.182926829268,-1423.1829268292677,1423.1829268292677,-0.048600691065087284,0.9513993089349128,23426.546341463414,51245.57012195122,True,True
35,25848,29283.182926829268,-3435.1829268292677,3435.1829268292677,-0.11730906901114056,0.8826909309888594,23426.546341463414,51245.57012195122,True,True
36,25818,29283.182926829268,-3465.1829268292677,3465.1829268292677,-0.11833354780755288,0.8816664521924471,23426.546341463414,51245.57012195122,True,True
37,25837,29283.182926829268,-3446.1829268292677,3446.1829268292677,-0.11768471123649175,0.8823152887635083,23426.546341463414,51245.57012195122,True,True
