section_id,party,votes
0501602001,PACMA,2
0501602001,PCAS-TC,2
0501602001,PODEMOS - AV,2
0501602001,PP,299
0501602001,PSOE,193
0501602001,SALF,13
0501602001,VOX,276
0501602001,XAV,39
0501602002,Cs,0
0501602002,ESCAÑOS EN BLANCO,2
0501602002,FE de las JONS,0
0501602002,IU-MS-VQ,6
0501602002,NUEVECYL,1
0501602002,PACMA,0
0501602002,PCAS-TC,0
0501602002,PODEMOS - AV,3
0501602002,PP,220
0501602002,PSOE,169
0501602002,SALF,2
0501602002,VOX,161
0501602002,XAV,26
0501602003,Cs,2
0501602003,ESCAÑOS EN BLANCO,0
0501602003,FE de las JONS,1
0501602003,IU-MS-VQ,6
0501602003,NUEVECYL,1
0501602003,PACMA,2
0501602003,PCAS-TC,1
0501602003,PODEMOS - AV,2
0501602003,PP,340
0501602003,PSOE,198
0501602003,SALF,23
0501602003,VOX,244
0501602003,XAV,52
0501602004,Cs,3
0501602004,ESCAÑOS EN BLANCO,1
0501602004,FE de las JONS,1
0501602004,IU-MS-VQ,2
0501602004,NUEVECYL,1
0501602004,PACMA,5
0501602004,PCAS-TC,0
0501602004,PODEMOS - AV,3
0501602004,PP,207
0501602004,PSOE,122
0501602004,SALF,7
0501602004,VOX,154
0501602004,XAV,29
0501602005,Cs,1
0501602005,ESCAÑOS EN BLANCO,3
0501602005,FE de las JONS,0
0501602005,IU-MS-VQ,11
0501602005,NUEVECYL,2
0501602005,PACMA,0
0501602005,PCAS-TC,3
0501602005,PODEMOS - AV,7
0501602005,PP,299
0501602005,PSOE,192
0501602005,SALF,9
0501602005,VOX,239
0501602005,XAV,31
0501701001,Cs,0
0501701001,ESCAÑOS EN BLANCO,0
0501701001,FE de las JONS,0
0501701001,IU-MS-VQ,0
0501701001,NUEVECYL,0
0501701001,PACMA,0
0501701001,PCAS-TC,1
0501701001,PODEMOS - AV,0
0501701001,PP,23
0501701001,PSOE,10
0501701001,SALF,1
0501701001,VOX,11
0501701001,XAV,9
0501801001,Cs,0
0501801001,ESCAÑOS EN BLANCO,0
0501801001,FE de las JONS,0
0501801001,IU-MS-VQ,0
0501801001,NUEVECYL,0
0501801001,PACMA,0
0501801001,PCAS-TC,0
0501801001,PODEMOS - AV,0
0501801001,PP,6
0501801001,PSOE,9
0501801001,SALF,0
0501801001,VOX,1
0501801001,XAV,0
0501901001,Cs,1
0501901001,ESCAÑOS EN BLANCO,2
0501901001,FE de las JONS,1
0501901001,IU-MS-VQ,14
0501901001,NUEVECYL,0
0501901001,PACMA,3
0501901001,PCAS-TC,2
0501901001,PODEMOS - AV,6
0501901001,PP,204
0501901001,PSOE,130
0501901001,SALF,6
0501901001,VOX,108
0501901001,XAV,150
0501901002,Cs,3
0501901002,ESCAÑOS EN BLANCO,5
0501901002,FE de las JONS,4
0501901002,IU-MS-VQ,11
0501901002,NUEVECYL,0
0501901002,PACMA,5
0501901002,PCAS-TC,0
0501901002,PODEMOS - AV,3
0501901002,PP,204
0501901002,PSOE,165
0501901002,SALF,14
0501901002,VOX,125
0501901002,XAV,162
0501902001,Cs,4
0501902001,ESCAÑOS EN BLANCO,4
0501902001,FE de las JONS,3
0501902001,IU-MS-VQ,18
0501902001,NUEVECYL,0
0501902001,PACMA,1
0501902001,PCAS-TC,1
0501902001,PODEMOS - AV,2
0501902001,PP,378
0501902001,PSOE,136
0501902001,SALF,18
0501902001,VOX,144
0501902001,XAV,196
0501902002,Cs,1
0501902002,ESCAÑOS EN BLANCO,2
0501902002,FE de las JONS,2
0501902002,IU-MS-VQ,6
0501902002,NUEVECYL,0
0501902002,PACMA,1
0501902002,PCAS-TC,0
0501902002,PODEMOS - AV,4
0501902002,PP,286
0501902002,PSOE,87
0501902002,SALF,9
0501902002,VOX,96
0501902002,XAV,122
0501903001,Cs,1
0501903001,ESCAÑOS EN BLANCO,2
0501903001,FE de las JONS,0
0501903001,IU-MS-VQ,21
0501903001,NUEVECYL,0
0501903001,PACMA,1
0501903001,PCAS-TC,2
0501903001,PODEMOS - AV,13
0501903001,PP,245
0501903001,PSOE,213
0501903001,SALF,8
0501903001,VOX,110
0501903001,XAV,234
0501903002,Cs,2
0501903002,ESCAÑOS EN BLANCO,3
0501903002,FE de las JONS,0
0501903002,IU-MS-VQ,11
0501903002,NUEVECYL,0
0501903002,PACMA,4
0501903002,PCAS-TC,1
0501903002,PODEMOS - AV,8
0501903002,PP,292
0501903002,PSOE,210
0501903002,SALF,12
0501903002,VOX,169
0501903002,XAV,258
0501904001,Cs,4
0501904001,ESCAÑOS EN BLANCO,0
0501904001,FE de las JONS,1
0501904001,IU-MS-VQ,11
0501904001,NUEVECYL,1
0501904001,PACMA,7
0501904001,PCAS-TC,0
0501904001,PODEMOS - AV,2
0501904001,PP,265
0501904001,PSOE,165
0501904001,SALF,12
0501904001,VOX,155
0501904001,XAV,244
0501904002,Cs,3
0501904002,ESCAÑOS EN BLANCO,1
0501904002,FE de las JONS,1
0501904002,IU-MS-VQ,16
0501904002,NUEVECYL,1
0501904002,PACMA,6
0501904002,PCAS-TC,2
0501904002,PODEMOS - AV,2
0501904002,PP,250
0501904002,PSOE,185
0501904002,SALF,11
0501904002,VOX,133
0501904002,XAV,164
0501904003,Cs,3
0501904003,ESCAÑOS EN BLANCO,0
0501904003,FE de las JONS,1
0501904003,IU-MS-VQ,11
0501904003,NUEVECYL,1
0501904003,PACMA,3
0501904003,PCAS-TC,0
0501904003,PODEMOS - AV,4
0501904003,PP,179
0501904003,PSOE,146
0501904003,SALF,4
0501904003,VOX,90
0501904003,XAV,148
0501904004,Cs,1
0501904004,ESCAÑOS EN BLANCO,1
0501904004,FE de las JONS,1
0501904004,IU-MS-VQ,6
0501904004,NUEVECYL,0
0501904004,PACMA,4
0501904004,PCAS-TC,1
0501904004,PODEMOS - AV,3
0501904004,PP,125
0501904004,PSOE,97
0501904004,SALF,3
0501904004,VOX,76
0501904004,XAV,135
0501904005,Cs,2
0501904005,ESCAÑOS EN BLANCO,0
0501904005,FE de las JONS,3
0501904005,IU-MS-VQ,8
0501904005,NUEVECYL,3
0501904005,PACMA,1
0501904005,PCAS-TC,1
0501904005,PODEMOS - AV,7
0501904005,PP,143
0501904005,PSOE,156
0501904005,SALF,3
0501904005,VOX,65
0501904005,XAV,120
0501904006,Cs,1
0501904006,ESCAÑOS EN BLANCO,2
0501904006,FE de las JONS,0
0501904006,IU-MS-VQ,21
0501904006,NUEVECYL,1
0501904006,PACMA,2
0501904006,PCAS-TC,0
0501904006,PODEMOS - AV,3
0501904006,PP,217
0501904006,PSOE,169
0501904006,SALF,2
0501904006,VOX,97
0501904006,XAV,153
0501904008,Cs,3
0501904008,ESCAÑOS EN BLANCO,4
0501904008,FE de las JONS,3
0501904008,IU-MS-VQ,21
0501904008,NUEVECYL,3
0501904008,PACMA,2
0501904008,PCAS-TC,2
0501904008,PODEMOS - AV,8
0501904008,PP,276
0501904008,PSOE,263
0501904008,SALF,19
0501904008,VOX,187
0501904008,XAV,313
0501904009,Cs,2
0501904009,ESCAÑOS EN BLANCO,2
0501904009,FE de las JONS,1
0501904009,IU-MS-VQ,10
0501904009,NUEVECYL,1
0501904009,PACMA,3
0501904009,PCAS-TC,1
0501904009,PODEMOS - AV,3
0501904009,PP,231
0501904009,PSOE,191
0501904009,SALF,15
0501904009,VOX,130
0501904009,XAV,206
0501904010,Cs,4
0501904010,ESCAÑOS EN BLANCO,4
0501904010,FE de las JONS,3
0501904010,IU-MS-VQ,9
0501904010,NUEVECYL,0
0501904010,PACMA,1
0501904010,PCAS-TC,1
0501904010,PODEMOS - AV,3
0501904010,PP,132
0501904010,PSOE,145
0501904010,SALF,4
0501904010,VOX,105
0501904010,XAV,129
0501904011,Cs,6
0501904011,ESCAÑOS EN BLANCO,2
0501904011,FE de las JONS,1
0501904011,IU-MS-VQ,22
0501904011,NUEVECYL,3
0501904011,PACMA,6
0501904011,PCAS-TC,2
0501904011,PODEMOS - AV,10
0501904011,PP,247
0501904011,PSOE,276
0501904011,SALF,17
0501904011,VOX,267
0501904011,XAV,279
0501904012,Cs,3
0501904012,ESCAÑOS EN BLANCO,5
0501904012,FE de las JONS,1
0501904012,IU-MS-VQ,11
0501904012,NUEVECYL,2
0501904012,PACMA,6
0501904012,PCAS-TC,0
0501904012,PODEMOS - AV,12
0501904012,PP,216
0501904012,PSOE,185
0501904012,SALF,17
0501904012,VOX,201
0501904012,XAV,223
0501904013,Cs,8
0501904013,ESCAÑOS EN BLANCO,2
0501904013,FE de las JONS,0
0501904013,IU-MS-VQ,10
0501904013,NUEVECYL,0
0501904013,PACMA,2
0501904013,PCAS-TC,0
0501904013,PODEMOS - AV,1
0501904013,PP,157
0501904013,PSOE,125
0501904013,SALF,9
0501904013,VOX,94
0501904013,XAV,120
0501904014,Cs,2
0501904014,ESCAÑOS EN BLANCO,2
0501904014,FE de las JONS,1
0501904014,IU-MS-VQ,6
0501904014,NUEVECYL,1
0501904014,PACMA,2
0501904014,PCAS-TC,3
0501904014,PODEMOS - AV,8
0501904014,PP,199
0501904014,PSOE,197
0501904014,SALF,16
0501904014,VOX,170
0501904014,XAV,201
0501905001,Cs,3
0501905001,ESCAÑOS EN BLANCO,7
0501905001,FE de las JONS,1
0501905001,IU-MS-VQ,13
0501905001,NUEVECYL,0
0501905001,PACMA,2
0501905001,PCAS-TC,0
0501905001,PODEMOS - AV,8
0501905001,PP,246
0501905001,PSOE,172
0501905001,SALF,13
0501905001,VOX,107
0501905001,XAV,171
0501905002,Cs,4
0501905002,ESCAÑOS EN BLANCO,2
0501905002,FE de las JONS,0
0501905002,IU-MS-VQ,14
0501905002,NUEVECYL,4
0501905002,PACMA,1
0501905002,PCAS-TC,0
0501905002,PODEMOS - AV,6
0501905002,PP,316
0501905002,PSOE,185
0501905002,SALF,9
0501905002,VOX,105
0501905002,XAV,181
0501905003,Cs,3
0501905003,ESCAÑOS EN BLANCO,1
0501905003,FE de las JONS,1
0501905003,IU-MS-VQ,9
0501905003,NUEVECYL,0
0501905003,PACMA,0
0501905003,PCAS-TC,0
0501905003,PODEMOS - AV,0
0501905003,PP,204
0501905003,PSOE,125
0501905003,SALF,6
0501905003,VOX,74
0501905003,XAV,121
