Comarca código,Comarca nombre,Municipio código,Municipio nombre,Provincia código,Provincia nombre
06,Hoya de Huesca / Plana de Uesca,22015,Alcalá del Obispo,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22019,Alerre,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22021,Almudévar,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22027,Angüés,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22029,Antillón,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22036,Argavieso,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22037,Arguis,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22039,Ayerbe,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22047,Banastás,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22063,Biscarrués,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22064,Blecua y Torres,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22081,Casbas de Huesca,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22096,Chimillas,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22119,Gurrea de Gállego,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22125,Huesca,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22126,Ibieca,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22127,Igriés,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22149,Loarre,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22150,Loporzano,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22151,Loscorrales,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22156,Monflorite-Lascasas,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22162,Novales,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22163,Nueno,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22173,Peñas de Riglos (Las),22,Huesca
06,Hoya de Huesca / Plana de Uesca,22178,Pertusa,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22181,Piracés,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22195,Quicena,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22203,Salillas,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22220,Sesa,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22222,Siétamo,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22228,Tierz,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22239,Tramaced,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22248,Vicién,22,Huesca
06,Hoya de Huesca / Plana de Uesca,22904,Sotonera (La),22,Huesca
06,Hoya de Huesca / Plana de Uesca,22905,Lupiñén-Ortilla,22,Huesca
06,Hoya de Huesca / Plana de Uesca,50185,Murillo de Gállego,50,Zaragoza
06,Hoya de Huesca / Plana de Uesca,50238,Santa Eulalia de Gállego,50,Zaragoza
07,Somontano de Barbastro,22001,Abiego,22,Huesca
07,Somontano de Barbastro,22003,Adahuesca,22,Huesca
07,Somontano de Barbastro,22024,Alquézar,22,Huesca
07,Somontano de Barbastro,22041,Azara,22,Huesca
07,Somontano de Barbastro,22042,Azlor,22,Huesca
07,Somontano de Barbastro,22048,Barbastro,22,Huesca
07,Somontano de Barbastro,22050,Barbuñales,22,Huesca
07,Somontano de Barbastro,22055,Berbegal,22,Huesca
07,Somontano de Barbastro,22058,Bierge,22,Huesca
07,Somontano de Barbastro,22082,Castejón del Puente,22,Huesca
07,Somontano de Barbastro,22088,Castillazuelo,22,Huesca
07,Somontano de Barbastro,22090,Colungo,22,Huesca
07,Somontano de Barbastro,22102,Estada,22,Huesca
07,Somontano de Barbastro,22103,Estadilla,22,Huesca
07,Somontano de Barbastro,22115,Grado (El),22,Huesca
