CUSEC_KEY,CUMUN,NMUN,CPRO,NPRO,POP_2025,district_id
2212501001,22125,Huesca,22,Huesca,1783,24
2212501002,22125,Huesca,22,Huesca,1418,24
2212501003,22125,Huesca,22,Huesca,1249,24
2212502001,22125,Huesca,22,Huesca,1543,24
2212502002,22125,Huesca,22,Huesca,1923,24
2212502003,22125,Huesca,22,Huesca,956,24
2212502004,22125,Huesca,22,Huesca,2059,9
2212502005,22125,Huesca,22,Huesca,1458,9
2212502006,22125,Huesca,22,Huesca,1176,45
2212503001,22125,Huesca,22,Huesca,1453,45
2212503002,22125,Huesca,22,Huesca,1141,45
2212503003,22125,Huesca,22,Huesca,1807,45
2212503004,22125,Huesca,22,Huesca,1726,45
2212503005,22125,Huesca,22,Huesca,1544,9
2212503006,22125,Huesca,22,Huesca,2305,9
2212503007,22125,Huesca,22,Huesca,1211,45
2212504001,22125,Huesca,22,Huesca,2305,24
2212504002,22125,Huesca,22,Huesca,1309,24
2212504003,22125,Huesca,22,Huesca,1750,24
2212504004,22125,Huesca,22,Huesca,1568,24
2212505001,22125,Huesca,22,Huesca,2139,54
2212505002,22125,Huesca,22,Huesca,1656,45
2212506001,22125,Huesca,22,Huesca,1788,54
2212506002,22125,Huesca,22,Huesca,778,54
2212506003,22125,Huesca,22,Huesca,1019,54
2212506004,22125,Huesca,22,Huesca,808,54
2212507001,22125,Huesca,22,Huesca,2034,54
2212507002,22125,Huesca,22,Huesca,2583,54
2212507003,22125,Huesca,22,Huesca,1420,45
2212507004,22125,Huesca,22,Huesca,987,45
2212508002,22125,Huesca,22,Huesca,1693,24
2212508003,22125,Huesca,22,Huesca,1068,24
2212508004,22125,Huesca,22,Huesca,2128,45
2212601001,22126,Ibieca,22,Huesca,111,9
2212701001,22127,Igriés,22,Huesca,729,9
2212801001,22128,Ilche,22,Huesca,187,52
2212901001,22129,Isábena,22,Huesca,235,32
2213001001,22130,Jaca,22,Huesca,1461,10
2213001002,22130,Jaca,22,Huesca,1426,10
2213001003,22130,Jaca,22,Huesca,1208,10
2213001004,22130,Jaca,22,Huesca,1641,10
2213001005,22130,Jaca,22,Huesca,1562,10
2213001006,22130,Jaca,22,Huesca,1955,10
2213001007,22130,Jaca,22,Huesca,1954,10
2213001008,22130,Jaca,22,Huesca,2805,10
2213101001,22131,Jasa,22,Huesca,90,10
2213301001,22133,Labuerda,22,Huesca,176,1
2213501001,22135,Laluenga,22,Huesca,201,55
2213601001,22136,Lalueza,22,Huesca,848,55
2213701001,22137,Lanaja,22,Huesca,1141,55
2213901001,22139,Laperdiguera,22,Huesca,87,55
2214101001,22141,Lascellas-Ponzano,22,Huesca,138,9
2214201001,22142,Lascuarre,22,Huesca,139,32
2214301001,22143,Laspaúles,22,Huesca,255,1
2214401001,22144,Laspuña,22,Huesca,279,8
2214901001,22149,Loarre,22,Huesca,357,42
2215001001,22150,Loporzano,22,Huesca,576,9
2215101001,22151,Loscorrales,22,Huesca,98,45
2215501001,22155,Monesma y Cajigar,22,Huesca,68,32
2215601001,22156,Monflorite-Lascasas,22,Huesca,474,9
2215701001,22157,Montanuy,22,Huesca,230,1
2215801001,22158,Monzón,22,Huesca,1741,29
2215801002,22158,Monzón,22,Huesca,1440,29
2215801003,22158,Monzón,22,Huesca,1062,52
2215801004,22158,Monzón,22,Huesca,1912,52
2215801005,22158,Monzón,22,Huesca,1115,52
2215801006,22158,Monzón,22,Huesca,1547,36
2215801007,22158,Monzón,22,Huesca,1134,29
2215801008,22158,Monzón,22,Huesca,1855,29
2215801009,22158,Monzón,22,Huesca,1763,52
2215801010,22158,Monzón,22,Huesca,2213,52
2215801011,22158,Monzón,22,Huesca,2683,29
2216001001,22160,Naval,22,Huesca,279,8
2216201001,22162,Novales,22,Huesca,155,55
2216301001,22163,Nueno,22,Huesca,573,9
2216401001,22164,Olvena,22,Huesca,63,8
2216501001,22165,Ontiñena,22,Huesca,498,29
2216701001,22167,Osso de Cinca,22,Huesca,664,23
2216801001,22168,Palo,22,Huesca,31,8
