district_id,population,target_population,population_difference,relative_deviation,population_ratio,floor_population,cap_population,within_hard_limits,section_count,municipality_count,municipalities,province_count,provinces,area_km2,perimeter_km,compactness_polsby_popper,centroid_x_etrs89_utm30,centroid_y_etrs89_utm30,bbox_minx,bbox_miny,bbox_maxx,bbox_maxy
0,20766,20367.4776119403,398.52238805970046,0.01956660494012618,1.0195666049401262,16293.98208955224,35643.085820895525,True,14,1,Zaragoza,1,Zaragoza,0.8968412086388639,7.109251971349724,0.22298600414370404,673679.3024320684,4613570.475047083,672824.3651999999,4612828.8476,674492.6268999996,4614198.3617
1,19086,20367.4776119403,-1281.4776119402995,-0.06291783579470056,0.9370821642052994,16293.98208955224,35643.085820895525,True,33,27,"Aisa | Ansó | Aragüés del Puerto | Artieda | Bagüés | Bailo | Biescas | Caldearenas | Canal de Berdún | Canfranc | Castiello de Jaca | Fago | Hoz de Jaca | Isuerre | Jasa | Mianos | Panticosa | Pintanos, Los | Puente la Reina de Jaca | Sabiñánigo | Sallent de Gállego | Salvatierra de Esca | Santa Cilia | Santa Cruz de la Serós | Sigüés | Valle de Hecho | Villanúa",2,Huesca | Zaragoza,2769.4043668294103,589.151641539469,0.10026331337403026,698098.9323865509,4720151.887792122,650929.1375000002,4686283.7838,741395.8581999997,4754878.790899999
2,19546,20367.4776119403,-821.4776119402995,-0.04033281035540276,0.9596671896445973,16293.98208955224,35643.085820895525,True,16,1,Zaragoza,1,Zaragoza,138.86628443902325,98.97797124834457,0.17812693037603447,684853.9807801612,4601086.1724505285,676826.9778000005,4591394.0699000005,693491.5866999999,4613226.168500001
3,19437,20367.4776119403,-930.4776119402995,-0.04568447942688854,0.9543155205731114,16293.98208955224,35643.085820895525,True,15,1,Zaragoza,1,Zaragoza,0.9463157257559104,8.192234639575013,0.17719079461026563,674914.2041999048,4614000.892623151,674125.1672999999,4613484.2028,676025.8903999999,4614585.907500001
4,20568,20367.4776119403,200.52238805970046,0.009845224424950174,1.0098452244249503,16293.98208955224,35643.085820895525,True,14,1,Zaragoza,1,Zaragoza,1.4143471512745278,10.923363429632824,0.14895432492891159,677212.2459419263,4610660.8532505445,676013.2822000002,4609483.366900001,678199.5111999996,4612282.8638
5,20546,20367.4776119403,178.52238805970046,0.008765071034375061,1.008765071034375,16293.98208955224,35643.085820895525,True,16,1,Zaragoza,1,Zaragoza,0.3793661182884099,4.795985988762989,0.2072586158984116,674892.2967356341,4613198.589924301,674406.3639000002,4612731.0813,675382.2391999997,4613624.506100001
6,19688,20367.4776119403,-679.4776119402995,-0.03336091119805431,0.9666390888019457,16293.98208955224,35643.085820895525,True,14,1,Zaragoza,1,Zaragoza,3.605112659164573,12.738839973171547,0.2791701249497742,674496.4510581268,4615298.741932666,672863.6394999996,4614045.4914,676346.8433999997,4616439.499500001
7,22523,20367.4776119403,2155.5223880597005,0.10583158254196581,1.1058315825419658,16293.98208955224,35643.085820895525,True,18,14,"Almonacid de la Sierra | Almunia de Doña Godina, La | Arándiga | Brea de Aragón | Cariñena | Cosuenda | Illueca | Lumpiaque | Mesones de Isuela | Morés | Nigüella | Ricla | Sabiñán | Épila",1,Zaragoza,624.9794497821262,266.675870679488,0.11043536170930804,633145.3317010611,4597041.543726049,610384.5603,4574163.665999999,652738.3775000004,4613906.0178
8,19301,20367.4776119403,-1066.4776119402995,-0.052361791295898324,0.9476382087041016,16293.98208955224,35643.085820895525,True,32,27,"Albero Alto | Alcalá del Obispo | Angüés | Argavieso | Azlor | Aínsa-Sobrarbe | Barbastro | Barbuñales | Bierge | Blecua y Torres | Boltaña | Broto | Casbas de Huesca | Fiscal | Fueva, La | Ibieca | Lascellas-Ponzano | Novales | Piracés | Salas Altas | Salas Bajas | Santa María de Dulcis | Siétamo | Torla-Ordesa | Tramaced | Yebra de Basa | Yésero",1,Huesca,2016.1885615327933,603.0553284311927,0.06966693309977455,743163.6236314948,4691592.569678144,717320.3600000003,4647169.014699999,778337.7434999999,4742297.9462
9,19473,20367.4776119403,-894.4776119402995,-0.04391695569685654,0.9560830443031435,16293.98208955224,35643.085820895525,True,18,9,Huesca | Loporzano | Monflorite-Lascasas | Quicena | Robres | Sangarrén | Tardienta | Torralba de Aragón | Vicién,1,Huesca,471.69539581668647,223.4586813398857,0.11870719364545934,713367.1578236399,4659520.974843637,694609.1289999997,4633224.214199999,732391.5591000002,4687649.8627
