district_id,party,votes,bloc
13,EXISTE,1367,otros
13,CHA,357,izquierda
13,PAR,249,centro
13,SALF,239,derecha
13,IU- MOVIMIENTO SUMAR,134,izquierda
13,ESCAÑOS EN BLANCO,44,
13,PODEMOS -AV,29,izquierda
13,PACMA,28,
13,COALICIÓN ARAGONESA,6,
14,PP,2560,derecha
14,PSOE,2303,izquierda
14,VOX,1987,derecha
14,EXISTE,898,otros
14,CHA,340,izquierda
14,IU- MOVIMIENTO SUMAR,258,izquierda
14,SALF,235,derecha
14,PAR,214,centro
14,PODEMOS -AV,72,izquierda
14,ESCAÑOS EN BLANCO,34,
14,PACMA,23,
14,COALICIÓN ARAGONESA,3,
15,PP,2807,derecha
15,PSOE,2548,izquierda
15,VOX,1951,derecha
15,EXISTE,1114,otros
15,PAR,779,centro
15,CHA,324,izquierda
15,SALF,228,derecha
15,IU- MOVIMIENTO SUMAR,138,izquierda
15,ESCAÑOS EN BLANCO,51,
15,PODEMOS -AV,47,izquierda
15,PACMA,21,
15,COALICIÓN ARAGONESA,1,
16,PP,2954,derecha
16,PSOE,2235,izquierda
16,VOX,1882,derecha
16,EXISTE,1117,otros
16,PAR,877,centro
16,CHA,349,izquierda
16,SALF,158,derecha
16,IU- MOVIMIENTO SUMAR,78,izquierda
16,ESCAÑOS EN BLANCO,27,
16,PODEMOS -AV,24,izquierda
16,COALICIÓN ARAGONESA,8,
16,PACMA,8,
17,PP,3065,derecha
17,PSOE,2604,izquierda
17,VOX,1600,derecha
17,EXISTE,1077,otros
17,CHA,467,izquierda
17,PAR,371,centro
17,IU- MOVIMIENTO SUMAR,168,izquierda
17,SALF,166,derecha
17,PODEMOS -AV,50,izquierda
17,ESCAÑOS EN BLANCO,30,
17,PACMA,29,
17,COALICIÓN ARAGONESA,6,
18,PP,2688,derecha
18,PSOE,2383,izquierda
18,VOX,1536,derecha
18,CHA,1233,izquierda
18,IU- MOVIMIENTO SUMAR,333,izquierda
18,SALF,300,derecha
18,EXISTE,257,otros
18,PODEMOS -AV,125,izquierda
18,PAR,80,centro
18,ESCAÑOS EN BLANCO,63,
18,PACMA,35,
18,MUNDO+JUSTO,12,
18,PCTE,9,
18,COALICIÓN ARAGONESA,6,
19,PP,3147,derecha
19,PSOE,2856,izquierda
19,CHA,1590,izquierda
19,VOX,1588,derecha
19,IU- MOVIMIENTO SUMAR,464,izquierda
19,EXISTE,320,otros
19,SALF,266,derecha
19,PODEMOS -AV,176,izquierda
19,PAR,81,centro
19,ESCAÑOS EN BLANCO,68,
19,PACMA,50,
19,PCTE,11,
19,MUNDO+JUSTO,9,
19,COALICIÓN ARAGONESA,5,
20,PP,3930,derecha
20,PSOE,3176,izquierda
20,VOX,1835,derecha
20,CHA,1576,izquierda
20,IU- MOVIMIENTO SUMAR,437,izquierda
20,EXISTE,315,otros
20,SALF,303,derecha
20,PODEMOS -AV,168,izquierda
20,ESCAÑOS EN BLANCO,85,
20,PAR,77,centro
20,PACMA,51,
20,MUNDO+JUSTO,11,
20,COALICIÓN ARAGONESA,6,
20,PCTE,6,
21,PP,5586,derecha
21,PSOE,2047,izquierda
21,VOX,1656,derecha
21,CHA,876,izquierda
21,EXISTE,256,otros
21,IU- MOVIMIENTO SUMAR,245,izquierda
21,SALF,211,derecha
21,PAR,73,centro
21,PODEMOS -AV,60,izquierda
21,ESCAÑOS EN BLANCO,56,
21,PACMA,40,
21,COALICIÓN ARAGONESA,14,
21,MUNDO+JUSTO,9,
21,PCTE,7,
22,PP,4295,derecha
22,PSOE,1962,izquierda
22,VOX,1436,derecha
22,CHA,882,izquierda
22,IU- MOVIMIENTO SUMAR,300,izquierda
22,SALF,216,derecha
22,EXISTE,203,otros
22,ESCAÑOS EN BLANCO,83,
22,PODEMOS -AV,77,izquierda
22,PAR,70,centro
22,PACMA,39,
22,PCTE,14,
22,MUNDO+JUSTO,10,
22,COALICIÓN ARAGONESA,6,
23,PP,7128,derecha
23,VOX,2154,derecha
23,PSOE,1244,izquierda
23,CHA,644,izquierda
23,SALF,277,derecha
23,IU- MOVIMIENTO SUMAR,198,izquierda
23,EXISTE,186,otros
23,ESCAÑOS EN BLANCO,69,
23,PODEMOS -AV,57,izquierda
23,PAR,55,centro
23,PACMA,37,
23,MUNDO+JUSTO,16,
23,PCTE,10,
23,COALICIÓN ARAGONESA,1,
24,PP,4710,derecha
24,PSOE,2092,izquierda
24,VOX,1344,derecha
24,CHA,1025,izquierda
24,IU- MOVIMIENTO SUMAR,387,izquierda
24,EXISTE,295,otros
24,SALF,200,derecha
24,PODEMOS -AV,132,izquierda
24,ESCAÑOS EN BLANCO,73,
24,PAR,69,centro
24,PACMA,35,
24,MUNDO+JUSTO,11,
24,COALICIÓN ARAGONESA,6,
24,PCTE,4,
25,PP,4357,derecha
25,PSOE,1828,izquierda
25,VOX,1767,derecha
25,CHA,1041,izquierda
25,SALF,363,derecha
25,IU- MOVIMIENTO SUMAR,304,izquierda
25,EXISTE,260,otros
25,PODEMOS -AV,107,izquierda
25,ESCAÑOS EN BLANCO,74,
25,PAR,71,centro
25,PACMA,45,
25,MUNDO+JUSTO,22,
25,PCTE,13,
25,COALICIÓN ARAGONESA,7,
26,PP,4624,derecha
26,PSOE,2410,izquierda
26,VOX,1674,derecha
26,CHA,1107,izquierda
26,SALF,312,derecha
26,IU- MOVIMIENTO SUMAR,306,izquierda
26,EXISTE,280,otros
26,PODEMOS -AV,94,izquierda
26,PAR,79,centro
26,ESCAÑOS EN BLANCO,74,
26,PACMA,48,
26,MUNDO+JUSTO,10,
26,PCTE,8,
26,COALICIÓN ARAGONESA,7,
27,PP,3945,derecha
27,PSOE,2399,izquierda
27,VOX,1380,derecha
27,CHA,1153,izquierda
27,IU- MOVIMIENTO SUMAR,412,izquierda
27,EXISTE,260,otros
27,SALF,212,derecha
27,PODEMOS -AV,134,izquierda
27,ESCAÑOS EN BLANCO,72,
27,PAR,67,centro
27,PACMA,37,
27,PCTE,12,
27,COALICIÓN ARAGONESA,9,
27,MUNDO+JUSTO,7,
28,PSOE,2278,izquierda
28,PP,2030,derecha
28,VOX,1166,derecha
28,CHA,783,izquierda
28,IU- MOVIMIENTO SUMAR,202,izquierda
28,SALF,198,derecha
28,EXISTE,190,otros
28,PODEMOS -AV,101,izquierda
28,PACMA,44,
28,PAR,36,centro
28,ESCAÑOS EN BLANCO,32,
28,PCTE,13,
28,MUNDO+JUSTO,9,
28,COALICIÓN ARAGONESA,3,
29,PP,2463,derecha
29,PSOE,2193,izquierda
29,VOX,1263,derecha
29,CHA,867,izquierda
29,IU- MOVIMIENTO SUMAR,231,izquierda
29,EXISTE,196,otros
29,SALF,180,derecha
29,PODEMOS -AV,103,izquierda
29,PAR,56,centro
29,ESCAÑOS EN BLANCO,53,
29,PACMA,33,
29,PCTE,10,
29,COALICIÓN ARAGONESA,9,
29,MUNDO+JUSTO,6,
30,PSOE,2319,izquierda
30,PP,1749,derecha
30,VOX,1284,derecha
30,CHA,1107,izquierda
30,IU- MOVIMIENTO SUMAR,539,izquierda
30,SALF,296,derecha
30,EXISTE,198,otros
30,PODEMOS -AV,137,izquierda
30,ESCAÑOS EN BLANCO,64,
30,PACMA,62,
30,PAR,55,centro
30,PCTE,11,
30,COALICIÓN ARAGONESA,9,
30,MUNDO+JUSTO,3,
31,PP,2512,derecha
31,PSOE,2119,izquierda
31,VOX,1190,derecha
31,CHA,1025,izquierda
31,IU- MOVIMIENTO SUMAR,347,izquierda
31,EXISTE,203,otros
31,SALF,160,derecha
31,PODEMOS -AV,126,izquierda
31,ESCAÑOS EN BLANCO,61,
31,PAR,44,centro
31,PACMA,39,
31,COALICIÓN ARAGONESA,10,
31,PCTE,8,
31,MUNDO+JUSTO,6,
32,PP,2490,derecha
32,PSOE,1835,izquierda
32,VOX,1724,derecha
32,CHA,905,izquierda
32,SALF,306,derecha
32,EXISTE,218,otros
32,IU- MOVIMIENTO SUMAR,191,izquierda
32,PODEMOS -AV,85,izquierda
32,ESCAÑOS EN BLANCO,58,
32,PAR,58,centro
32,PACMA,28,
32,COALICIÓN ARAGONESA,7,
32,PCTE,5,
32,MUNDO+JUSTO,4,
33,PP,2993,derecha
33,PSOE,1785,izquierda
33,VOX,1233,derecha
33,CHA,864,izquierda
33,IU- MOVIMIENTO SUMAR,533,izquierda
33,SALF,190,derecha
33,EXISTE,158,otros
33,PODEMOS -AV,140,izquierda
33,ESCAÑOS EN BLANCO,69,
33,PAR,39,centro
33,PACMA,36,
33,MUNDO+JUSTO,11,
33,COALICIÓN ARAGONESA,7,
33,PCTE,2,
34,PP,4899,derecha
34,PSOE,2012,izquierda
34,VOX,1532,derecha
34,CHA,1069,izquierda
34,IU- MOVIMIENTO SUMAR,385,izquierda
34,SALF,257,derecha
34,EXISTE,220,otros
34,PODEMOS -AV,116,izquierda
34,ESCAÑOS EN BLANCO,77,
34,PAR,66,centro
34,PACMA,38,
34,PCTE,16,
34,MUNDO+JUSTO,8,
34,COALICIÓN ARAGONESA,7,
35,PP,2402,derecha
35,PSOE,2321,izquierda
35,VOX,1287,derecha
35,CHA,980,izquierda
35,IU- MOVIMIENTO SUMAR,338,izquierda
35,EXISTE,214,otros
35,SALF,190,derecha
35,PODEMOS -AV,115,izquierda
35,ESCAÑOS EN BLANCO,55,
35,PACMA,52,
35,PAR,36,centro
35,PCTE,17,
35,MUNDO+JUSTO,9,
35,COALICIÓN ARAGONESA,7,
36,PP,3419,derecha
36,PSOE,2260,izquierda
36,VOX,1316,derecha
36,CHA,1053,izquierda
36,IU- MOVIMIENTO SUMAR,489,izquierda
36,EXISTE,232,otros
36,SALF,209,derecha
36,PODEMOS -AV,124,izquierda
36,ESCAÑOS EN BLANCO,66,
36,PAR,50,centro
36,PACMA,44,
36,COALICIÓN ARAGONESA,10,
36,PCTE,9,
36,MUNDO+JUSTO,6,
37,PP,3183,derecha
37,PSOE,2518,izquierda
37,CHA,1427,izquierda
37,VOX,1365,derecha
37,IU- MOVIMIENTO SUMAR,498,izquierda
37,EXISTE,258,otros
37,SALF,229,derecha
37,PODEMOS -AV,126,izquierda
37,ESCAÑOS EN BLANCO,80,
37,PAR,65,centro
37,PACMA,44,
37,PCTE,15,
37,MUNDO+JUSTO,13,
37,COALICIÓN ARAGONESA,2,
38,PP,2840,derecha
38,PSOE,2811,izquierda
38,VOX,1520,derecha
38,CHA,1344,izquierda
38,IU- MOVIMIENTO SUMAR,409,izquierda
38,EXISTE,271,otros
38,SALF,263,derecha
38,PODEMOS -AV,128,izquierda
38,ESCAÑOS EN BLANCO,74,
38,PAR,66,centro
38,PACMA,42,
38,PCTE,8,
38,COALICIÓN ARAGONESA,6,
38,MUNDO+JUSTO,5,
39,PSOE,2647,izquierda
39,PP,2371,derecha
39,VOX,1362,derecha
39,CHA,978,izquierda
39,IU- MOVIMIENTO SUMAR,280,izquierda
39,EXISTE,226,otros
39,SALF,193,derecha
39,PODEMOS -AV,98,izquierda
39,PAR,54,centro
39,PACMA,48,
39,ESCAÑOS EN BLANCO,43,
39,PCTE,15,
39,COALICIÓN ARAGONESA,6,
39,MUNDO+JUSTO,5,
40,PP,3328,derecha
40,PSOE,2642,izquierda
40,VOX,1421,derecha
40,CHA,1133,izquierda
40,IU- MOVIMIENTO SUMAR,313,izquierda
40,EXISTE,293,otros
40,SALF,247,derecha
40,PODEMOS -AV,111,izquierda
40,PAR,96,centro
40,ESCAÑOS EN BLANCO,72,
40,PACMA,49,
40,PCTE,19,
40,MUNDO+JUSTO,10,
40,COALICIÓN ARAGONESA,6,
41,PP,4424,derecha
41,PSOE,2663,izquierda
41,VOX,1645,derecha
41,CHA,1283,izquierda
41,IU- MOVIMIENTO SUMAR,322,izquierda
41,EXISTE,309,otros
41,SALF,300,derecha
41,PAR,101,centro
41,PODEMOS -AV,97,izquierda
41,ESCAÑOS EN BLANCO,78,
41,PACMA,52,
41,COALICIÓN ARAGONESA,7,
41,MUNDO+JUSTO,7,
41,PCTE,5,
42,PP,3490,derecha
42,PSOE,2824,izquierda
42,VOX,1584,derecha
42,CHA,1120,izquierda
42,IU- MOVIMIENTO SUMAR,349,izquierda
42,EXISTE,271,otros
42,SALF,264,derecha
42,PODEMOS -AV,119,izquierda
42,PAR,65,centro
42,ESCAÑOS EN BLANCO,57,
42,PACMA,51,
42,MUNDO+JUSTO,20,
42,COALICIÓN ARAGONESA,11,
42,PCTE,11,
43,PP,5479,derecha
43,PSOE,2394,izquierda
43,VOX,1627,derecha
43,CHA,1154,izquierda
43,IU- MOVIMIENTO SUMAR,358,izquierda
43,EXISTE,308,otros
43,SALF,245,derecha
43,ESCAÑOS EN BLANCO,91,
43,PODEMOS -AV,91,izquierda
43,PAR,74,centro
43,PACMA,43,
43,MUNDO+JUSTO,9,
43,PCTE,7,
43,COALICIÓN ARAGONESA,5,
44,PP,3380,derecha
44,PSOE,1996,izquierda
44,VOX,1807,derecha
44,CHA,1509,izquierda
44,SALF,534,derecha
44,IU- MOVIMIENTO SUMAR,430,izquierda
44,EXISTE,310,otros
44,PODEMOS -AV,121,izquierda
44,ESCAÑOS EN BLANCO,120,
44,PAR,107,centro
44,PACMA,68,
44,PCTE,11,
