district_id,party,votes,bloc
66,VOX,2363,derecha
66,PSOE,1933,izquierda
66,CHA,1032,izquierda
66,SALF,471,derecha
66,EXISTE,218,otros
66,IU- MOVIMIENTO SUMAR,218,izquierda
66,PODEMOS -AV,94,izquierda
66,PAR,71,centro
66,ESCAÑOS EN BLANCO,50,
66,PACMA,50,
66,PCTE,12,
66,MUNDO+JUSTO,10,
66,COALICIÓN ARAGONESA,1,
